amount,commission,investment_id|account_id|liability_id,isin,netCash,operationDate,originalCurrency,referenceCurrency,retention,symb,type,unitPrice,valueDate,_id
"1380,272",,909783ac8a926dd2eef9f26db44cf37295dbb03753da183a438953cc0ff1fed8,BE0948502365,"358870,72",2023-02-14,EUR,EUR,,-,Reimbursement,260,2023-02-14,d53832028658d67ed5ea8383d85fabb8c27457a6ae9ba2645560d431ccb422c4
"834,943",,909783ac8a926dd2eef9f26db44cf37295dbb03753da183a438953cc0ff1fed8,BE0948502365,"203834,63",2023-03-10,EUR,EUR,,-,Reimbursement,"244,13",2023-03-10,61658cb9acd95fb2c4db135741eceeda058d0a690457be7b62ec0f53f4f37e92
"9192,08",,59a65cd98ba8f1dc7a81e0f3f3b8f5d64dd7aa29317c5bf9aed60d9951f4e351,IE00BYZHYX44,"186827,18",2023-01-19,EUR,EUR,,-,Reimbursement,"20,3248",2023-01-19,2a9d20395fd802a84fb414a67274f3bbc1e2f220fdc122dd70140dcbb59f1245
"9451,46",,59a65cd98ba8f1dc7a81e0f3f3b8f5d64dd7aa29317c5bf9aed60d9951f4e351,IE00BYZHYX44,"201384,14",2023-02-14,EUR,EUR,,-,Reimbursement,"21,3072",2023-02-14,b12109be6eb0f4a6519b3bdb2d60833f06f34dc9d022742aba9755198023d7ef
"305,439",,7586a378b78c1beb97127dcfd67461bd8f0446ec244107f2979a0d38011f67a4,BE0948492260,"129154,88",2022-12-02,EUR,EUR,,-,Reimbursement,"422,85",2022-12-02,4aeab349421aa328c30babcc51de52618eb10e24b6ee55daac0d3601689c7854
"283,088",,7586a378b78c1beb97127dcfd67461bd8f0446ec244107f2979a0d38011f67a4,BE0948492260,"120997,47",2023-01-19,EUR,EUR,,-,Reimbursement,"427,42",2023-01-19,15505cfb1efbc821fc06cab8a224cea65e366f952efaedbcd4d3fb1bfa06b322
"144,053",,7586a378b78c1beb97127dcfd67461bd8f0446ec244107f2979a0d38011f67a4,BE0948492260,"60872,48",2023-03-14,EUR,EUR,,+,Suscription,"422,57",2023-03-14,104ee1074a71d1178843b2f773b9cd9d309d129806a74f51f0d311cd286fcb9a
"365,832",,7586a378b78c1beb97127dcfd67461bd8f0446ec244107f2979a0d38011f67a4,BE0948492260,"162400,14",2023-04-27,EUR,EUR,,-,Reimbursement,"443,92",2023-04-27,64e0d7695300dc2fdd3be1021f860564c58a6432a2ba46cd9bfece7fc629608f
"488,490261",,d0d9632fac985185fee8ec747dfd1c452ddc160412965926dea6a49e16ae7cc9,ES0162956009,"5048,18",2023-01-31,EUR,EUR,,+,Suscription,"10,334249",2023-01-31,70d4dadd2ac4937b2b6094ff1ed8b153839d9852fee3263d6055107a9074018d
"1166,52058",,d0d9632fac985185fee8ec747dfd1c452ddc160412965926dea6a49e16ae7cc9,ES0162956009,"11688,07",2023-03-10,EUR,EUR,,-,Reimbursement,"10,019603",2023-03-10,727ccdebea33e45e2c353c7412a6b55289ccf82a92c75ff581366a9b290f8f0f
"994,427",,16ae6b2ab46fa423224e5453f949826aea9981eab7870b3dd1641cfaf97875e0,LU0992626480,"147234,86",2022-11-10,EUR,EUR,,-,Reimbursement,"148,06",2022-11-10,0e3b255a33f4c533686275ae8e5e24fdb9a58fe3b5244b4a93019a65074b88f4
"646,751",,16ae6b2ab46fa423224e5453f949826aea9981eab7870b3dd1641cfaf97875e0,LU0992626480,"108427,81",2023-01-24,EUR,EUR,,+,Suscription,"167,65",2023-01-24,6dc669605bf2b9168d1283efeace7c7a8ec103296c343743519b9ce016b9d1c7
"47,411",,16ae6b2ab46fa423224e5453f949826aea9981eab7870b3dd1641cfaf97875e0,LU0992626480,"7333,06",2023-03-14,EUR,EUR,,+,Suscription,"154,67",2023-03-14,22965fb048577415c43cb62e8a8468ad58f9104a59920293f7da7c882ceb3624
"10468,73",,aa066e9f9fb7124801ea6022644c9e00345917089d6beda62a5a14bf0ddef136,LU0471298850,"126148,22",2022-12-07,EUR,EUR,,+,Suscription,"12,05",2022-12-07,85638ff362e5d553ca8a18c447a1e1d4d57997263fe8cad6f57a7cc7655874ab
"22417,48",,aa066e9f9fb7124801ea6022644c9e00345917089d6beda62a5a14bf0ddef136,LU0471298850,"275959,18",2023-01-19,EUR,EUR,,-,Reimbursement,"12,31",2023-01-19,3b796696b296f9a9230dda38b5f5d6ef21a214d4ef50e19862f10b151ae1815a
"1252,8345",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"125371,15",2022-11-16,EUR,EUR,,+,Suscription,"100,07",2022-11-16,4ed9e9bfacd10fbba2f427f9d5c05cf239f5684a9017dd82eb729374a684124c
"30,604",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"3005,31",2023-01-19,EUR,EUR,,-,Reimbursement,"98,2",2023-01-19,80327f963e41f252dcd38ddd1357a7be44c24d1bb2c9144d65b4fadadc36184c
"956,0929",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"96546,26",2023-02-14,EUR,EUR,,-,Reimbursement,"100,98",2023-02-14,4c4156f61160eabfb4be8991cbee71c23e2c60ea9d2648a157918c64e2d99c6f
"115,4762",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"11373,25",2023-03-10,EUR,EUR,,-,Reimbursement,"98,49",2023-03-10,8d8ee27ccc7a039857bd548787ef10cf0b822d328cdcb7397907d4b91bf7e58f
"673,491",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"63483,26",2023-03-27,EUR,EUR,,+,Suscription,"94,26",2023-03-27,3e052fc24c2bcba3ec88284b91598a2176bb57d0aeb50c3c45108f01da4c0861
"599,6663",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"57795,84",2023-04-11,EUR,EUR,,+,Suscription,"96,38",2023-04-11,c7538a43e29c4422ab87d640b2951188335fc44cc4137ff1550d357317846f0e
"5322,7975",,7e23c1dc36772f3cacdc6103d5c8b39c71fb3d0806a2d4201480daf0a1523f1d,LU2389405593,"506890,01",2023-04-27,EUR,EUR,,-,Reimbursement,"95,23",2023-04-27,790ca03a532c6a031494b8f36c880701e1b79cd3b0d03cf79bfefbb89a621077
"529,585",,83728522c237f94c47aed3ef4d28400821d85a3ed3a0ac161c7d99f3484080d9,BE6275503884,"104910,79",2023-01-19,EUR,EUR,,-,Reimbursement,"198,1",2023-01-19,b263affd9e2e8dddd9f4454ec35c8533cdd78c8cae439d5e330ba26aa5cbc42a
"614,054",,83728522c237f94c47aed3ef4d28400821d85a3ed3a0ac161c7d99f3484080d9,BE6275503884,"115644,79",2023-03-10,EUR,EUR,,-,Reimbursement,"188,33",2023-03-10,31302dc468ddd5b3ff8415a6db1e4e8991c116aed7eb5d0ec893896b7d8b82b8
"326,604",,83728522c237f94c47aed3ef4d28400821d85a3ed3a0ac161c7d99f3484080d9,BE6275503884,"57795,84",2023-04-05,EUR,EUR,,-,Reimbursement,"176,96",2023-04-05,9dae3f4552bdcfde06a5e8285ce55593a9ac7f8db137607c117fb7249ffefa39
"3248,166",,d70572f7bd6ca0ca75e46976a92105342eaeb7b318260d94a3814bcf4107781a,LU1951223772,"292302,46",2023-01-19,EUR,EUR,,-,Reimbursement,"89,99",2023-01-19,2b82610a31801349786c6fb9497223a4d867e9308e62bbb1001e36d13247fd80
"3316,697",,24fd10fa694118764cc35c3391456cc743c9c4ac5831cc615e3547f8584eaf0d,LU1378879081,"125371,15",2022-11-10,EUR,EUR,,-,Reimbursement,"37,8",2022-11-10,969517c219100c3107b0d56ae8b2a9a0d875861559292f22329bf42bc3f29379
"2775,301",,24fd10fa694118764cc35c3391456cc743c9c4ac5831cc615e3547f8584eaf0d,LU1378879081,"127081,03",2023-01-19,EUR,EUR,,-,Reimbursement,"45,79",2023-01-19,c4cd97f20d3cf7ee1c2f17398ca86a6ef0a05312769866526e806f9a5691528d
"675,612",,5cf1457c43f8e09d1bd03fa8e3d8b500000c366f94550b108d2ca20fafdb33da,LU0823381362,"98544,77",2023-01-19,EUR,EUR,,-,Reimbursement,"145,86",2023-01-19,f6b591ae88fddf7fb32c8ef63f2f48f3f885ebc03d73c69a59cf612d2847e90c
"544,252",,5cf1457c43f8e09d1bd03fa8e3d8b500000c366f94550b108d2ca20fafdb33da,LU0823381362,"80195,53",2023-02-14,EUR,EUR,,-,Reimbursement,"147,35",2023-02-14,929db2771d621e84c0b45504f56f7e45114cf43855aff5e82a020134e9a1219e
"13,772",,5cf1457c43f8e09d1bd03fa8e3d8b500000c366f94550b108d2ca20fafdb33da,LU0823381362,"2011,26",2023-03-10,EUR,EUR,,-,Reimbursement,"146,04",2023-03-10,399c10c620e901d653d15c7f5697f81e26a40c64d793e80ba7841d9c9c84dfb4
"1086,431",,5cf1457c43f8e09d1bd03fa8e3d8b500000c366f94550b108d2ca20fafdb33da,LU0823381362,"158760,16",2023-04-27,EUR,EUR,,-,Reimbursement,"146,13",2023-04-27,ca86e93a051ea1bc842332a864072bd7590719eafeca7bb27f3c72485d6b3535
"5703,308",,a106b8431eefc1348a90c2bdba46221d74e4a00e592504b1bfa595b9470b54d1,IE00B5BJ5943,"53154,83",2023-01-18,EUR,EUR,,-,Reimbursement,"9,32",2023-01-18,a92dd64dbf7f7ea52810f6919e882cfc40ab1e3e09fe239ead7b8453b0155ddd
"6301,356",,a106b8431eefc1348a90c2bdba46221d74e4a00e592504b1bfa595b9470b54d1,IE00B5BJ5943,"54947,82",2023-03-10,EUR,EUR,,-,Reimbursement,"8,72",2023-03-10,43d6836dfd475ccb7bfa194d11d0e25ae92644faf7e49d31b184f1c15e1fa51a
"7356,115",,a106b8431eefc1348a90c2bdba46221d74e4a00e592504b1bfa595b9470b54d1,IE00B5BJ5943,"63483,27",2023-03-22,EUR,EUR,,-,Reimbursement,"8,63",2023-03-22,c6a5c5c5e8efe372115428c074bbef3f4d89d94e91f4a92944233438711ea8d8
"1939,64541",,1d77b59ebf88f77b1fbdd3f5156fecc1655ecf3e9e801006a64b189cc5eef907,LU2047577635,"314222,56",2022-10-13,EUR,EUR,,-,Contrasplit,162,2022-10-13,89b04bbd4671abd69299b96f8f782f30b9f8cd8b783709e5bc61a1478f612eec
"193964,541",,1d77b59ebf88f77b1fbdd3f5156fecc1655ecf3e9e801006a64b189cc5eef907,LU2047577635,"314222,56",2022-10-13,EUR,EUR,,+,Contrasplit,"1,62",2022-10-13,d8f562648cc98bad065247de545d0b6d4420127a779a4118b7ee24dae93be44b
"8734,844",,1d77b59ebf88f77b1fbdd3f5156fecc1655ecf3e9e801006a64b189cc5eef907,LU2047577635,"15051,88",2023-01-25,EUR,EUR,,-,Reimbursement,"1,7232",2023-01-25,cc5b21a564955e23e902e6258141df42532058f35426821614dd6553fec943db
"3945,144",,1d77b59ebf88f77b1fbdd3f5156fecc1655ecf3e9e801006a64b189cc5eef907,LU2047577635,"6620,74",2023-03-15,EUR,EUR,,+,Suscription,"1,6782",2023-03-15,12a3a60633c11b2eeae94c04237eebb7546d5e9f0999611745c7774fc4926b7d
"189174,841",,1d77b59ebf88f77b1fbdd3f5156fecc1655ecf3e9e801006a64b189cc5eef907,LU2047577635,"309698,13",2023-04-28,EUR,EUR,,-,Reimbursement,"1,6371",2023-04-28,92e1c807e3c80ff8a8ea4f8aee2c6595c7a13dd39de8368d74b7e1f5a98b9e93
"186,7894",,27bb8e28b656500fdc050a35560bd11b8751ddefdc2910c429e33f611f516f4b,LU1663932132,"31685,09",2022-12-05,EUR,EUR,,-,Reimbursement,"169,63",2022-12-05,08973ca9539c2f02b258ab7ba726541b1c51e25c81993b8a8f0dde660f8f98f1
"352,3388",,27bb8e28b656500fdc050a35560bd11b8751ddefdc2910c429e33f611f516f4b,LU1663932132,62896,2023-01-20,EUR,EUR,,-,Reimbursement,"178,51",2023-01-20,5af7749ec22cefd6374f4fa901a821b2dbaf02c3994ea2d5e03b19fa0756ca69
"475,0238",,27bb8e28b656500fdc050a35560bd11b8751ddefdc2910c429e33f611f516f4b,LU1663932132,"78003,65",2023-03-15,EUR,EUR,,+,Suscription,"164,21",2023-03-15,70a58ed54ec309e64c3d06c218c65aa539879e91575e30ff51c6516793370d04
"2317,032",,948a14e8870f7b20271690614bd15ebdd3147fbb20488fb53cc414be7c6288b9,IE00BRJT7K50,"323272,3",2022-12-02,EUR,EUR,,-,Reimbursement,"139,52",2022-12-02,af6f0aecc7d9a5a92d8161852d020b404b0657b1ef15ecab6e67238f7fc86bd4
"14980,844",,0f2b7ab38dbe9f548a96b9d075021e80b4760e6d09a15a70cadc635f402a0dab,IE00BMPRXW24,"124790,43",2023-01-18,EUR,EUR,,-,Reimbursement,"8,33",2023-01-18,9eddb4aa91ce49cc0aad26da8a1a10d193ea55c85091911901cefa0b91efa491
"17704,520711",,525a3e9fa4110a43744af26ea63f1e8f1c64c9fc3e81f723336e120867e32a5d,ES0124525009,"150753,37",2023-01-19,EUR,EUR,,-,Reimbursement,"8,514965",2023-01-19,2598aad014254bb10b93f5ac6794c45f83d0b678ce3c24013b5eec0868b1f64a
"607,354893",,525a3e9fa4110a43744af26ea63f1e8f1c64c9fc3e81f723336e120867e32a5d,ES0124525009,"5125,72",2023-03-15,EUR,EUR,,+,Suscription,"8,439415",2023-03-15,458358b75d90cafd6bd9891c1326dea8c657c8060eed0a83e89744dea31a7b25
"18836,513817",,525a3e9fa4110a43744af26ea63f1e8f1c64c9fc3e81f723336e120867e32a5d,ES0124525009,"158592,54",2023-04-12,EUR,EUR,,+,Suscription,"8,419421",2023-04-12,66d6dc3624407fbee90459bbf49a3c8ce627e50431176f98d028e0fd9b03d2e9
"11983,773",,b23a7fc42f8955c35b80789ad0fb1bd6837a9254931f38206334b87d848f0ae6,IE00BDZRX185,"121515,46",2023-01-25,EUR,EUR,,+,Suscription,"10,14",2023-01-25,b4b532a2fc2fc3d8f7278ab95128ea9ad92875155531d89a5a2b6dd92c529c1c
"486,96",,b23a7fc42f8955c35b80789ad0fb1bd6837a9254931f38206334b87d848f0ae6,IE00BDZRX185,"4864,73",2023-03-15,EUR,EUR,,+,Suscription,"9,99",2023-03-15,742287c5d52785046d2ce0e62f50d358fc2a5b003479718ac6bfc29e34445fd4
"15733,387",,b23a7fc42f8955c35b80789ad0fb1bd6837a9254931f38206334b87d848f0ae6,IE00BDZRX185,"158592,54",2023-04-05,EUR,EUR,,-,Reimbursement,"10,08",2023-04-05,8ed887ce4136b0aaf779d442817b17e46169682ca89aa8f7056ed071f524aefd
"142,255",,9829155915f27c414922a791701699676ecdb9cb449cd340c3159915ba8d8053,LU0389812693,"179100,47",2023-01-25,EUR,EUR,,+,Suscription,"1259,01",2023-01-25,3ac415bdbc40d3d069413c16053c40cd9a6b382065aaaae6f373b7f3180dafd3
"9,631",,9829155915f27c414922a791701699676ecdb9cb449cd340c3159915ba8d8053,LU0389812693,"12114,64",2023-03-16,EUR,EUR,,+,Suscription,"1257,88",2023-03-16,145c900715297e661b047a27141b06402a181ce82a8208b9a11ee65a11944549
"3253,873",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"323272,3",2022-12-07,EUR,EUR,,+,Suscription,"99,35",2022-12-07,1606f03b5aa469db3de8af8e848682e5bce85cbeff245d5b75e1dd14f817ac9f
"319,084",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"31685,09",2022-12-09,EUR,EUR,,+,Suscription,"99,3",2022-12-09,74e04d513dabc2c7f7d0493984fdaa8bf72e5a11af4c2df38ab66f98c9ec9cf3
"403,429",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"40520,48",2023-01-23,EUR,EUR,,+,Suscription,"100,44",2023-01-23,c76e5aa4c3104c4eddacf021c6fd4a0a9a47d77a68ce625ef2c3d92d4c9e1496
"795,433",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"80195,53",2023-02-17,EUR,EUR,,+,Suscription,"100,82",2023-02-17,520401bcea20e1a5a2c11219d309beb0397fea4c3d2618046900f7bf8585c7ca
"1609,814",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"162381,95",2023-02-16,EUR,EUR,,+,Suscription,"100,87",2023-02-16,154263dac8bb6e80a553c5d2848b4c180de981ffdb0149b5269a7a58019ccf0a
"49,861",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"5013,52",2023-03-10,EUR,EUR,,-,Reimbursement,"100,55",2023-03-10,5f663554a925674e55b40d7fcd1708553e8a565723a95957a66b02927ca5e847
"930,073",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"92160,94",2023-03-27,EUR,EUR,,+,Suscription,"99,09",2023-03-27,bd029bd05ecbfece3c6ec4101bc5d21ae05b9a9d9bc7a2b5a169f2ffc3609fb8
"1242,924",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"123099,16",2023-03-28,EUR,EUR,,+,Suscription,"99,04",2023-03-28,d91949c0cbd7c6ce6e0a26b01c9b1eee14a511620dbc3e39226696a575f4bbbb
"795,747",,fefdbdcad54bc3fb2a9e54b9d0029a5dc4764f4d1042c871b75d4e99824f4b3f,IE00BYXHR262,"79312,1",2023-04-05,EUR,EUR,,-,Reimbursement,"99,67",2023-04-05,33d3a83fb6cbcc2e27f511185100e8ffc0caea4b2be8b141653decccf0dfabd6
"3805,041",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"408014,67",2023-01-24,EUR,EUR,,+,Suscription,"107,23",2023-01-24,cba32c794b8339446a1ec99ac7a054408bda77443a5e8512735818bb92932828
"1440,578",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"162381,95",2023-02-14,EUR,EUR,,-,Reimbursement,"112,72",2023-02-14,da5993d9bc1bb4d9ba92be883042bb8f2a12d4a1320a13cfe2ed77e7e8671643
"106,058",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"11317,45",2023-03-10,EUR,EUR,,-,Reimbursement,"106,71",2023-03-10,393380ef45443f3301d0cb8702bdcad5c09928cb3b62c6644995c975ad9dde20
"871,993",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"92160,94",2023-03-23,EUR,EUR,,-,Reimbursement,"105,69",2023-03-23,f1ae6178ebeba4006518bd3f82d670214a7337345e1dcd250eddec0759202425
"290,664",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"30720,28",2023-03-23,EUR,EUR,,-,Reimbursement,"105,69",2023-03-23,0a9a2d39526d87f42b83476b8ddac5351f467f2301590691892b1a6ee44b69c4
"1095,748",,06873748c2bfadf29fb9cd5a4b432c4035569176126d90f20a11d6be078339cd,LU1951224663,"116894,4",2023-04-27,EUR,EUR,,-,Reimbursement,"106,68",2023-04-27,eaeeb361fdf09747496c965d1792dc80108b73ebbd8e0c644cffe66ce566c4b4
"22624,346",,e883c54e8bcde01d75e0fb62cbc7310768fd4f233aa546811699fc24a28971f4,IE00BLLXGX96,"223754,79",2023-01-24,EUR,EUR,,+,Suscription,"9,89",2023-01-24,60bb223300f24ff6aad8917397263e8f22a57908325593456e9f6814e74859c3
"3180,671",,e883c54e8bcde01d75e0fb62cbc7310768fd4f233aa546811699fc24a28971f4,IE00BLLXGX96,"32506,46",2023-02-14,EUR,EUR,,-,Reimbursement,"10,22",2023-02-14,5ac6225be56c4d8a243e25c93b0d061bd9153123ba8bd22e3d0b1e4c49fc0c55
"19443,675",,e883c54e8bcde01d75e0fb62cbc7310768fd4f233aa546811699fc24a28971f4,IE00BLLXGX96,"183159,42",2023-03-10,EUR,EUR,,-,Reimbursement,"9,42",2023-03-10,342bc51745cad88930f42bc7a3ef20516bb14816a1c93a527ed4c14bba545e4a
"1720,6155",,23c54e4859e8e46e3437831a9c6ff90aff05050544c3642d4067445d964ea438,LU2036817711,"189147,26",2023-01-24,EUR,EUR,,+,Suscription,"109,93",2023-01-24,e8fe213c3cfadbfbfbeb879e4ca2699db404629b3f917808339c5311321f7630
"37,1105",,23c54e4859e8e46e3437831a9c6ff90aff05050544c3642d4067445d964ea438,LU2036817711,"3997,17",2023-03-14,EUR,EUR,,+,Suscription,"107,71",2023-03-14,31d3c6f1f830e9f9659978f33ed6ddf166d47d2bea7d20587b5268f4c2a5329b
"1757,726",,23c54e4859e8e46e3437831a9c6ff90aff05050544c3642d4067445d964ea438,LU2036817711,"202437,3",2023-04-27,EUR,EUR,,-,Reimbursement,"115,17",2023-04-27,2356d2b66c6fa0fce5c2dd378b2f3d7050d05a8f3956b2c50bc12c7a8038744d
"17787,98",,58f8f07e105f7cc4e41b457ed731664cef26ee47bfc75dde2062cea2251e44ae,LU0496654400,252056,2023-01-24,EUR,EUR,,+,Suscription,"14,17",2023-01-24,fe4db12a9738785e5e5779f5b16e6adf5e5b19257bd636d8379c9564aec140ce
"6658,36",,58f8f07e105f7cc4e41b457ed731664cef26ee47bfc75dde2062cea2251e44ae,LU0496654400,"96546,26",2023-02-16,EUR,EUR,,+,Suscription,"14,5",2023-02-16,6b7033a39e863b3b77a445c62967bbb779680f0368f2e0fe56dac5d0123474c3
"21,8",,58f8f07e105f7cc4e41b457ed731664cef26ee47bfc75dde2062cea2251e44ae,LU0496654400,"299,03",2023-03-15,EUR,EUR,,+,Suscription,"13,72",2023-03-15,a6187f0a973c42cfae6d82466236ccc41c66c17bf5c46de44db999c0a56bc6e0
"6693,41",,380e07205eb2e81fa9af64124cc22904d52325af05a79981b02974707a57a6dd,LU2337807072,"126505,44",2023-01-31,EUR,EUR,,+,Suscription,"18,9",2023-01-31,66710a0a036f821ffb27e8538009371d2655afb08b20833a1d3fc3579a4faec8
"256,572",,380e07205eb2e81fa9af64124cc22904d52325af05a79981b02974707a57a6dd,LU2337807072,"4479,74",2023-03-14,EUR,EUR,,+,Suscription,"17,46",2023-03-14,3cd6c7abbb9b078d38dc6745b076c19143f2f935f404845bfe4732456d6e4783
"2358,664",,b5e1d2334a682a867790363c0a972a61e46f6dc18d97d4d179b0df204e90999f,LU0329203813,"358870,72",2023-02-16,EUR,EUR,,+,Suscription,"152,15",2023-02-16,4f60bb7fb1884716598f147b55293a9a95fe587774c729a96f43b26c28031758
"374,029",,b5e1d2334a682a867790363c0a972a61e46f6dc18d97d4d179b0df204e90999f,LU0329203813,"54578,29",2023-03-14,EUR,EUR,,+,Suscription,"145,92",2023-03-14,f99691008ae38d4197841d6172f2412ad7557d7726555bf650eeb451f2a45fea
"2732,693",,b5e1d2334a682a867790363c0a972a61e46f6dc18d97d4d179b0df204e90999f,LU0329203813,"398645,25",2023-04-27,EUR,EUR,,-,Reimbursement,"145,88",2023-04-27,0002a100e295ed3c9eb484b9aa7e44eeca1a5ab3490a1440475ab709da62d4ba
"632,52761",,5003322517536dcf7647ca1a8f067ce122f078483a682e097429e1b83e6faae9,LU0217138485,"201384,14",2023-02-17,EUR,EUR,,+,Suscription,"318,38",2023-02-17,3b28c7f541513c333c31a0251e291c12c879eb9b9e7770f4f257e6e9f66c373a
"102,09957",,5003322517536dcf7647ca1a8f067ce122f078483a682e097429e1b83e6faae9,LU0217138485,"32506,46",2023-02-17,EUR,EUR,,+,Suscription,"318,38",2023-02-17,cd5087b0ee5223a2a29681ae47068462217e648d317b8df30b73609882d953f8
"180,10577",,5003322517536dcf7647ca1a8f067ce122f078483a682e097429e1b83e6faae9,LU0217138485,"54422,56",2023-03-15,EUR,EUR,,+,Suscription,"302,17",2023-03-15,4a950f06561c061a8bef87b24b61687ce2450aa0844978f83b81bd6f3bd93cd7
"98,77268",,5003322517536dcf7647ca1a8f067ce122f078483a682e097429e1b83e6faae9,LU0217138485,"30720,28",2023-03-27,EUR,EUR,,+,Suscription,"311,02",2023-03-27,c4d74734797f94b8cfbb9654ccf77671d516cbb7eb9308fb53027cd8704c5a4d
"1013,50563",,5003322517536dcf7647ca1a8f067ce122f078483a682e097429e1b83e6faae9,LU0217138485,"324767,74",2023-04-27,EUR,EUR,,-,Reimbursement,"320,44",2023-04-27,f84a5e6d6fd700ad64920a7734c27a834eeea55372b429036cb0b09a90dd08cc
"1212948,72",,d3d4eea0caa4b8a43d2f95625151e59880434c303201bbce691376562af1eedb,,,2023-08-02,,,,,Other,0,2023-08-02,c97cca7ab7ca065d86a39a023af7820175269fbee8166284b87ce8da29140204
1000000,,d3d4eea0caa4b8a43d2f95625151e59880434c303201bbce691376562af1eedb,,,2023-09-19,,,,,Other,0,2023-09-19,fed50889a64a55c602f3fcfd6455650bdf14ae82d821126a52712de9715cafa0
"956,4",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-10-20,,,,,Other,0,2022-10-01,fbad7232e1d7680145d11e63c9e53fd484365309b80b924c6d88102a40f0b154
"4554,28",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-10-20,,,,,Other,0,2022-10-01,6a4189483b3a2e54a87684787f1a8ff12311907b7f6cf7e6fb2d59a652ac8d6e
"147234,86",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-11-16,,,,,Receipt on account of sale of financial assets,0,2022-11-16,1c8bac9fd2f7cf36b04bb0669575ea9069a6a0e1e9cf81da7299a0ffcce5b3fb
"125371,15",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-11-16,,,,,Receipt on account of sale of financial assets,0,2022-11-16,3844436e378708ceb03d1c311f07da8852edebb0f5e8fd484c4b8656ec473289
"125371,15",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-11-18,,,,,Debit to account for purchase of financial assets,0,2022-11-16,a935abde5a5cb56e70a33fd5f6f018ce4b5f2f4f4200261e9172f38796334654
"147234,83",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-11-18,,,,,Debit to account for purchase of financial assets,0,2022-11-16,5fb24db91eed6568473afa9e4aaf15b23500c73ef13d3d7810239aaf158d1389
"129154,88",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-12-06,,,,,Receipt on account of sale of financial assets,0,2022-12-06,379579ce6f9d6d32b809854154d0e595df4e8f4515310fa0ad20a764072c30a6
"323272,3",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-12-07,,,,,Receipt on account of sale of financial assets,0,2022-12-07,d5e0421b5e811e9bf0ba809f05ce7c7f93de31a026ab5f3290bdffb6ff284029
"126148,22",,3e1c530607fd9a96f5556d39a3672bb5e9167c83aa6f0473c5f6963fa5af3c14,,,2022-12-07,,,,,Receipt on account of sale of financial assets,0,2022-12-07,9257f8c6e4bccc961dca3ccb8e177f3d9e8d9545dfdfd944fb7ebae2ede920ba
